#Step KinEng v_T_r Volume 
       0    1.4992676    503.21957    1757.8832 
    5000    1.5454067    518.70589    2060.0589 
   10000    1.4936986    501.35039    2161.8862 
   15000    1.4502276    486.75963    2142.8966 
   20000    1.5058227    505.41977    2149.2632 
   25000    1.4710288     493.7414    2139.7197 
   30000    1.4637491    491.29803    2138.5159 
   35000    1.4848746    498.38865      2123.45 
   40000     1.462119    490.75089    2142.1719 
   45000    1.5191336    509.88747    2178.6906 
   50000    1.4614447    490.52456    2122.7179 
   55000    1.5045434    504.99037    2148.0685 
   60000    1.4456176     485.2123    2147.9419 
   65000    1.4418181    483.93701    2135.4255 
   70000    1.4470949    485.70816    2138.6645 
   75000    1.4383179    482.76222    2133.1508 
   80000    1.4401786    483.38674    2115.6099 
   85000     1.485236    498.50996    2120.1449 
   90000    1.4313436    480.42132    2129.4524 
   95000    1.4644232    491.52427    2126.3052 
  100000    1.4522963    487.45398    2102.2247 
  105000    1.4460428    485.35502    2157.1544 
  110000    1.4009947     470.2349    2108.2337 
  115000    1.4433306    484.44468     2088.311 
  120000    1.4356314     481.8605    2107.3885 
  125000    1.4011474    470.28617    2096.0648 
  130000    1.4570491    489.04922    2110.2285 
  135000    1.4277633    479.21963     2121.708 
  140000    1.4164036    475.40682     2115.522 
  145000    1.3973124    468.99898    2097.0146 
  150000    1.3950141    468.22756    2100.3442 
  155000    1.3686619     459.3826    2092.8537 
  160000    1.4335505    481.16204    2106.4427 
  165000     1.418592    476.14135    2126.5756 
  170000    1.3547371    454.70884    2115.8024 
  175000    1.4060794    471.94156    2095.0195 
  180000    1.3952473    468.30584    2094.1305 
  185000    1.3848693    464.82251    2080.7588 
  190000    1.4171477    475.65655    2079.9586 
  195000    1.3731862    460.90115    2085.3118 
  200000    1.3851669    464.92241    2108.3319 
  205000    1.3414842    450.26059    2074.3716 
  210000    1.3900487    466.56096    2068.3582 
  215000    1.4015051    470.40624    2091.5944 
  220000     1.386937    465.51652    2066.2812 
  225000      1.36041    456.61293    2045.9306 
  230000    1.3213495     443.5025     2061.659 
  235000    1.3912884    466.97707    2110.1523 
  240000    1.3421261    450.47603     2092.023 
  245000    1.3346977    447.98275    2065.6572 
  250000    1.3856474     465.0837    2069.3495 
  255000    1.3591691     456.1964    2054.6392 
  260000     1.341697    450.33201       2033.9 
  265000    1.3023073     437.1111    2074.2398 
  270000    1.3536752    454.35242    2086.0103 
  275000    1.3601356     456.5208    2064.0473 
  280000    1.3247414    444.64098    2057.6137 
  285000    1.3458015    451.70967    2042.7052 
  290000    1.3357013    448.31959    2051.9512 
  295000    1.3413713    450.22269    2034.0977 
  300000    1.3137334     440.9462    2043.6383 
  305000    1.3231518    444.10742    2041.5384 
  310000    1.3499181    453.09139    2049.7394 
  315000    1.3259401    445.04331    2048.8772 
  320000    1.2646732    424.47947    2075.6717 
  325000    1.3357892     448.3491    2060.0039 
  330000    1.3105987    439.89406    2048.8096 
  335000    1.3116536    440.24815    2045.3047 
  340000    1.2743056    427.71252    2040.6545 
  345000    1.2958676    434.94966    2063.9174 
  350000    1.2704751    426.42684    2033.8969 
  355000    1.2988469    435.94966    2030.6275 
  360000    1.2698597    426.22027    2014.4448 
  365000    1.3012495    436.75608    2020.9414 
  370000    1.2921074    433.68758    2034.5601 
  375000     1.339476    449.58657    2029.4015 
  380000     1.254799    421.16526    2028.1157 
  385000    1.2343129    414.28922    2003.8921 
  390000    1.2656555    424.80917    2009.3365 
  395000    1.2558202    421.50802    2013.6135 
  400000     1.254227    420.97328    1987.7219 
  405000    1.2601608     422.9649    1969.6537 
  410000    1.2252631    411.25174    1964.4941 
  415000     1.256955     421.8889    1908.6698 
  420000    1.2286723    412.39602     1899.115 
  425000    1.2521212    420.26646    1869.2167 
  430000    1.2237659    410.74921    1812.2774 
  435000    1.2345911    414.38261    1798.0433 
  440000    1.2393363    415.97529    1802.1889 
  445000     1.220508    409.65572    1785.2266 
  450000    1.2284662    412.32683    1815.9271 
  455000    1.2433443    417.32056    1793.2636 
  460000    1.2164528    408.29461    1796.0959 
  465000    1.2158941    408.10709    1793.3751 
  470000    1.2657733    424.84871    1777.2116 
  475000     1.217278    408.57159    1800.7765 
  480000     1.223909    410.79722    1797.9836 
  485000    1.2132383    407.21566    1788.1402 
  490000    1.2354012     414.6545    1795.5778 
  495000    1.1996425    402.65234    1785.7279 
  500000     1.193143    400.47082    1784.3242 
  505000     1.203468    403.93635    1780.5809 
  510000     1.169573    392.55969    1802.9943 
  515000    1.2018796     403.4032    1773.1355 
  520000    1.1957036    401.33028    1785.4726 
  525000    1.1817998    396.66354    1787.7011 
  530000     1.178652    395.60702    1782.3556 
  535000    1.1868672     398.3644    1780.7333 
  540000    1.1549057     387.6367    1784.7339 
  545000    1.1732828    393.80487     1795.196 
  550000    1.1671262    391.73846    1783.7715 
  555000    1.1324972    380.11543    1786.8997 
  560000    1.1354202    381.09654    1791.6895 
  565000     1.144603    384.17867    1785.0702 
  570000    1.1510412     386.3396    1774.3542 
  575000    1.1324727    380.10722    1793.7859 
  580000    1.1762433    394.79855    1781.6414 
  585000    1.1697083    392.60509    1774.3722 
  590000    1.1065248    371.39798    1772.2031 
  595000    1.1574853    388.50254    1784.2022 
  600000    1.1567309    388.24934    1765.0519 
  605000    1.1181783    375.30941    1776.2959 
  610000    1.0991621    368.92672    1782.3444 
  615000    1.1298762    379.23571     1777.063 
  620000    1.1208279    376.19873    1775.7322 
  625000    1.0992264    368.94831    1757.3956 
  630000    1.1152393    374.32294     1765.027 
